"id","Symbol","Company","Marketcap"
"220","KEI","KEI Industries Limited","  2,932,350 "
"221","IGL","Indraprastha Gas Limited","  2,928,453 "
"222","ANGELONE","Angel One Limited","  2,927,792 "
"223","JKCEMENT","JK Cement Limited","  2,927,115 "
"224","ITI","ITI Limited","  2,926,381 "
"225","PSB","Punjab & Sind Bank","  2,924,615 "
"226","APOLLOTYRE","Apollo Tyres Limited","  2,883,676 "
"227","DELHIVERY","Delhivery Limited","  2,861,153 "
"228","IPCALAB","IPCA Laboratories Limited","  2,824,109 "
"229","SYNGENE","Syngene International Limited","  2,819,934 "
"230","KPRMILL","K.P.R. Mill Limited","  2,819,282 "
"231","TATACHEM","Tata Chemicals Limited","  2,812,764 "
"232","SUNTV","Sun TV Network Limited","  2,806,671 "
"233","NAM-INDIA","Nippon Life India Asset Management Limited","  2,806,485 "
"234","IREDA","Indian Renewable Energy Development Agency Limited","  2,763,022 "
"235","MSUMI","Motherson Sumi Wiring India Limited","  2,730,034 "
"236","ENDURANCE","Endurance Technologies Limited","  2,719,294 "
"237","EXIDEIND","Exide Industries Limited","  2,701,725 "
"238","KANSAINER","Kansai Nerolac Paints Limited","  2,693,925 "
"239","AJANTPHARM","Ajanta Pharma Limited","  2,669,680 "
"240","HINDCOPPER","Hindustan Copper Limited","  2,646,261 "
"241","ZEEL","Zee Entertainment Enterprises Limited","  2,638,547 "
"242","SUNDRMFAST","Sundram Fasteners Limited","  2,624,293 "
"243","GRINDWELL","Grindwell Norton Limited","  2,578,780 "
"244","MEDANTA","Global Health Limited","  2,574,621 "
"245","360ONE","360 ONE WAM LIMITED","  2,543,843 "
"246","CREDITACC","CREDITACCESS GRAMEEN LIMITED","  2,541,325 "
"247","CYIENT","Cyient Limited","  2,539,984 "
"248","HATSUN","Hatsun Agro Product Limited","  2,536,323 "
"249","HUDCO","Housing & Urban Development Corporation Limited","  2,521,393 "
"250","JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","  2,518,925 "
"251","IRB","IRB Infrastructure Developers Limited","  2,509,205 "
"252","GODREJIND","Godrej Industries Limited","  2,506,489 "
"253","EMAMILTD","Emami Limited","  2,460,769 "
"254","NH","Narayana Hrudayalaya Ltd.","  2,456,315 "
"255","TIMKEN","Timken India Limited","  2,446,076 "
"256","APARINDS","Apar Industries Limited","  2,431,549 "
"257","NATIONALUM","National Aluminium Company Limited","  2,423,436 "
"258","RAMCOCEM","The Ramco Cements Limited","  2,411,009 "
"259","GLENMARK","Glenmark Pharmaceuticals Limited","  2,409,575 "
"260","RATNAMANI","Ratnamani Metals & Tubes Limited","  2,357,369 "
"261","AARTIIND","Aarti Industries Limited","  2,354,826 "
"262","DEVYANI","Devyani International Limited","  2,336,352 "
"263","MRPL","Mangalore Refinery and Petrochemicals Limited","  2,333,585 "
"264","ISEC","ICICI Securities Limited","  2,320,497 "
"265","LAURUSLABS","Laurus Labs Limited","  2,317,276 "
"266","IIFL","IIFL Finance Limited","  2,280,873 "
"267","SKFINDIA","SKF India Limited","  2,274,196 "
"268","RELAXO","Relaxo Footwears Limited","  2,249,160 "
"269","KIOCL","KIOCL Limited","  2,237,436 "
"270","POWERINDIA","Hitachi Energy India Limited","  2,231,120 "
"271","RADICO","Radico Khaitan Limited","  2,217,206 "
"272","TATAINVEST","Tata Investment Corporation Limited","  2,166,516 "
"273","LALPATHLAB","Dr. Lal Path Labs Ltd.","  2,151,809 "
"274","FIVESTAR","Five-Star Business Finance Limited","  2,147,564 "
"275","ABFRL","Aditya Birla Fashion and Retail Limited","  2,123,242 "
"276","BATAINDIA","Bata India Limited","  2,122,504 "
"277","CARBORUNIV","Carborundum Universal Limited","  2,115,888 "
"278","GILLETTE","Gillette India Limited","  2,112,418 "
"279","ATUL","Atul Limited","  2,111,103 "
"280","PEL","Piramal Enterprises Limited","  2,092,518 "
"281","SONATSOFTW","Sonata Software Limited","  2,082,855 "
"282","KAJARIACER","Kajaria Ceramics Limited","  2,073,065 "
"283","BRIGADE","Brigade Enterprises Limited","  2,070,891 "
"284","ASTERDM","Aster DM Healthcare Limited","  2,047,005 "
"285","PNBHOUSING","PNB Housing Finance Limited","  2,027,461 "
"286","IDFC","IDFC Limited","  2,026,380 "
"287","SUMICHEM","Sumitomo Chemical India Limited","  2,016,798 "
"288","CROMPTON","Crompton Greaves Consumer Electricals Limited","  1,990,366 "
"289","BSOFT","BIRLASOFT LIMITED","  1,988,288 "
"290","CHOLAHLDNG","Cholamandalam Financial Holdings Limited","  1,952,979 "
